pub_date	keywords	headline	source	document_type	web_url	news_desk	section_name	snippet	lead_paragraph
2014-08-09T04:12:16Z		Cleric Says 7 Supporters Killed in Pakistan Clash	AP	article	http://www.nytimes.com/aponline/2014/08/09/world/asia/ap-as-pakistan.html	None	World	Fighting between Pakistani security forces and supporters of a fiery anti-government cleric killed seven people as they were heading towards a planned demonstration in the city Lahore, the cleric claimed Saturday. Authorities have contested the...	Fighting between Pakistani security forces and supporters of a fiery anti-government cleric killed seven people as they were heading towards a planned demonstration in the city Lahore, the cleric claimed Saturday. Authorities have contested the cleric's claim and put the death toll from clashes to two, including one police officer.
2014-08-10T08:02:05Z		A Year Later, Protest's Bloody End Divides Egypt	AP	article	http://www.nytimes.com/aponline/2014/08/10/world/middleeast/ap-ml-egypt-divisions-drawn-in-blood-abridged.html	None	World	Around 6:30 a.m., police armored vehicles rumbled up to the barricades at the edges of the anti-government sit-in where thousands of Islamists had camped out for weeks in a Cairo square.	Around 6:30 a.m., police armored vehicles rumbled up to the barricades at the edges of the anti-government sit-in where thousands of Islamists had camped out for weeks in a Cairo square.
2014-08-10T08:00:55Z		A Year Later, Protest's Bloody End Divides Egypt	AP	article	http://www.nytimes.com/aponline/2014/08/10/world/middleeast/ap-ml-egypt-divisions-drawn-in-blood.html	None	World	Around 6:30 a.m., police armored vehicles rumbled up to the barricades at the edges of the anti-government sit-in where thousands of Islamists had camped out for weeks in a Cairo square.	Around 6:30 a.m., police armored vehicles rumbled up to the barricades at the edges of the anti-government sit-in where thousands of Islamists had camped out for weeks in a Cairo square.
2014-08-10T09:22:47Z		Vandalism, Looting After Vigil for Missouri Man	AP	article	http://www.nytimes.com/aponline/2014/08/10/us/ap-us-police-shooting-missouri.html	None	U.S.	People smashed car windows and carried away armloads of looted goods from stores Sunday night after thousands of people packed a suburban St. Louis area at a vigil for an unarmed black man who was shot and killed by a police officer.	People smashed car windows and carried away armloads of looted goods from stores Sunday night after thousands of people packed a suburban St. Louis area at a vigil for an unarmed black man who was shot and killed by a police officer.
2014-08-11T02:58:25Z		Police Use Tear Gas on Crowd Outside St. Louis	AP	article	http://www.nytimes.com/aponline/2014/08/11/us/ap-us-police-shooting-missouri.html	None	U.S.	A black teenager who was fatally shot by a police officer had his hands raised when the officer approached with his weapon drawn and fired repeatedly, according to two men who said they witnessed the shooting that sparked two nights of unrest in...	A black teenager who was fatally shot by a police officer had his hands raised when the officer approached with his weapon drawn and fired repeatedly, according to two men who said they witnessed the shooting that sparked two nights of unrest in suburban St. Louis.
2014-08-11T01:00:37Z		Second Night of Rioting After Killing of Black Missouri Teen	Reuters	article	http://www.nytimes.com/reuters/2014/08/11/us/11reuters-usa-missouri-shooting.html	None	U.S.	Police fired tear gas after rioting broke out for a second night in Ferguson, Missouri, despite calls on Monday for calm from the mother of a black teenager who was shot to death by police at the weekend.	Police fired tear gas after rioting broke out for a second night in Ferguson, Missouri, despite calls on Monday for calm from the mother of a black teenager who was shot to death by police at the weekend.
2014-08-12T00:00:00Z	Social Media; Demonstrations, Protests and Riots; Ferguson (Mo); Brown, Michael (1996-2014)	Protests Near St. Louis, Seen on Social Media	The New York Times	article	http://www.nytimes.com/2014/08/12/us/protests-near-st-louis-seen-on-social-media.html	National	U.S.	A chaotic night in Ferguson, Mo., in response to the weekend shooting of Michael Brown, was captured on social media as police officers used tear gas and rubber bullets.	A chaotic night in Ferguson, Mo., in response to the weekend shooting of Michael Brown, was captured on social media as police officers used tear gas and rubber bullets.
2014-08-12T00:00:00Z	Brown, Michael (1996-2014); Federal Bureau of Investigation; Police Brutality, Misconduct and Shootings; Ferguson (Mo); Demonstrations, Protests and Riots; St Louis (Mo); Looting (Crime); Murders and Attempted Murders	F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth	The New York Times	article	http://www.nytimes.com/2014/08/12/us/looting-and-unrest-follows-vigil-for-st-louis-teenager.html	National	U.S.	The agency opened a civil rights inquiry into the fatal shooting of an unarmed black teenager as protests went into their third day in a St. Louis suburb.	The agency opened a civil rights inquiry into the fatal shooting of an unarmed black teenager as protests went into their third day in a St. Louis suburb.
2014-08-12T16:28:16Z		Racial Tensions Are Not New in St. Louis Suburb	AP	article	http://www.nytimes.com/aponline/2014/08/12/us/ap-us-police-shooting-missouri-ferguson.html	None	U.S.	Racial tensions have run high for decades in this former railroad town that was once a mostly white St. Louis suburb until school busing and urban decay sent many families packing for more distant communities.	Racial tensions have run high for decades in this former railroad town that was once a mostly white St. Louis suburb until school busing and urban decay sent many families packing for more distant communities.
2014-08-12T05:53:27Z		Obama Calls Missouri Shooting Death Tragic, Urges Reflection	Reuters	article	http://www.nytimes.com/reuters/2014/08/12/us/12reuters-usa-missouri-shooting.html	None	U.S.	President Barack Obama called the police shooting death of an unarmed black teenager a tragedy and called on Tuesday for thoughtful response after two nights of violent protests, looting, arrests and tear gas in a St. Louis suburb.	President Barack Obama called the police shooting death of an unarmed black teenager a tragedy and called on Tuesday for thoughtful response after two nights of violent protests, looting, arrests and tear gas in a St. Louis suburb.
