date,keywords,headline,source,doc_type,web_url,news_desk,section,snippet,lead_paragraph
1997-04-30T00:00:00Z,TEXAS; REPUBLIC OF TEXAS; FRINGE GROUPS AND MOVEMENTS,Texas Standoff Continues; Next Moves Are Uncertain,The New York Times,article,http://www.nytimes.com/1997/04/30/us/texas-standoff-continues-next-moves-are-uncertain.html,National Desk,U.S.,"As their standoff with a militant separatist group entered its third day, Texas authorities said today that they remained optimistic that a peaceful surrender by the group would be arranged soon.    But with more than 80 people already driven from...","As their standoff with a militant separatist group entered its third day, Texas authorities said today that they remained optimistic that a peaceful surrender by the group would be arranged soon. But with more than 80 people already driven from their homes by the situation and with many demanding that the state move immediately to drive the group out of its ramshackle citadel in the West Texas mountains, the state officials were clearly grappling with the questions of when or whether they should move to dislodge the militants, whose number the state estimated at 13 adults and no children."
1997-05-01T00:00:00Z,UNITED STATES; SOCIAL CONDITIONS AND TRENDS; NINETEEN HUNDRED SIXTIES,Rude Awakenings From 60's Dreams,The New York Times,article,http://www.nytimes.com/1997/05/01/arts/rude-awakenings-from-60-s-dreams.html,Cultural Desk,Arts,"The pungent scent of tear gas has been on my mind in recent months, accompanied by memories of droning helicopters, nervous National Guardsmen and the voice of Abbie Hoffman urging that something provocatively rude be done to a particular college...","The pungent scent of tear gas has been on my mind in recent months, accompanied by memories of droning helicopters, nervous National Guardsmen and the voice of Abbie Hoffman urging that something provocatively rude be done to a particular college president. The memories seem to arise from some eerie universe in which different laws are in effect. It somehow made sense to sit in the middle of a city street at 3 A.M. and block nonexistent traffic in an act of protest. It made sense to close down a major university and invite 13,000 protesters to eat granola and yogurt in the dining halls. It made sense for many to argue that armed revolution was imminent, that the Constitution was about to be suspended, that we were living in a country that had evolved from a Weimar-style republic into something unspeakable."
1997-05-04T00:00:00Z,"BAND PLAYED DIXIE, THE (BOOK); COHODAS, NADINE; REVIEWS; BOOKS AND LITERATURE",Ground Zero,The New York Times,article,http://www.nytimes.com/1997/05/04/books/ground-zero.html,Book Review Desk,Arts; Books, The Band   Played Dixie   Race and the Liberal Conscience at Ole Miss.   By Nadine Cohodas.   Illustrated. 309 pp. New York:   The Free Press. $26.  ,The Band Played Dixie Race and the Liberal Conscience at Ole Miss. By Nadine Cohodas. Illustrated. 309 pp. New York: The Free Press. $26.
1997-05-05T00:00:00Z,BOULDER (COLO); COLLEGES AND UNIVERSITIES; DEMONSTRATIONS AND RIOTS,Hundreds Fight Police Near Colorado Campus,AP,article,http://www.nytimes.com/1997/05/05/us/hundreds-fight-police-near-colorado-campus.html,National Desk,Education,"For the second night in succession, hundreds of people threw stones and bricks at the police early today. About a dozen people were hospitalized and several others were jailed.    On Friday night, about 1,500 young people gathered on a street after...","For the second night in succession, hundreds of people threw stones and bricks at the police early today. About a dozen people were hospitalized and several others were jailed. On Friday night, about 1,500 young people gathered on a street after firefighters arrived to put out a large bonfire that had apparently been set by students celebrating the end of classes. Their confrontation with the police extended into Saturday morning. Eleven people were arrested, and 20 were injured."
1997-05-06T00:00:00Z,,NEWS SUMMARY,The New York Times,article,http://www.nytimes.com/1997/05/06/nyregion/news-summary-964107.html,Metropolitan Desk,New York and Region," INTERNATIONAL   A3-15    Zaire Awash in Rumors As Kinshasa Awaits Rebels  The inconclusive end to peace talks between President Mobutu Sese Seko of Zaire and the rebel leader, Laurent Kabila, left Kinshasa, the capital, rife with rumors and panic....","INTERNATIONAL A3-15 Zaire Awash in Rumors As Kinshasa Awaits Rebels The inconclusive end to peace talks between President Mobutu Sese Seko of Zaire and the rebel leader, Laurent Kabila, left Kinshasa, the capital, rife with rumors and panic. Mr. Kabila said his troops were only 40 miles from the international airport; he offered to guarantee the safety of Mr. Mobutu and his family if the President resigned immediately. A1"
1997-05-09T00:00:00Z,"MEXICO CITY (MEX); MEXICO; ARMAMENT, DEFENSE AND MILITARY FORCES; POLITICS AND GOVERNMENT; DEMONSTRATIONS AND RIOTS; POLICE",Mexican Police Protest; 7 Officers Are Injured,The New York Times,article,http://www.nytimes.com/1997/05/09/world/mexican-police-protest-7-officers-are-injured.html,Foreign Desk,World,Hundreds of protesting police officers battled today with an antiriot force that used clubs and tear gas. The officers had blocked a major expressway to protest transfers and the rising role of the army in policing Mexico City.    Seven officers were...,"Hundreds of protesting police officers battled today with an antiriot force that used clubs and tear gas. The officers had blocked a major expressway to protest transfers and the rising role of the army in policing Mexico City. Seven officers were injured, four from the riot squad and three among the protesters, said Gen. Enrique Salgado Cordero, the Mexico City Police Chief. Seventeen protesters were arrested. It was the second day of police turbulence in Mexico City."
1997-05-19T00:00:00Z,JAKARTA (INDONESIA); INDONESIA; POLITICS AND GOVERNMENT; DEMONSTRATIONS AND RIOTS; ELECTIONS,New Clashes in Indonesia,Reuters,article,http://www.nytimes.com/1997/05/19/world/new-clashes-in-indonesia.html,Foreign Desk,World,Supporters of Indonesia's governing party clashed today with backers of an opposition  party in a second day of election campaign violence in Jakarta.     Witnesses said riot police officers and troops were deployed in the city's southern Kebayoran...,Supporters of Indonesia's governing party clashed today with backers of an opposition party in a second day of election campaign violence in Jakarta. Witnesses said riot police officers and troops were deployed in the city's southern Kebayoran Lama area and the central Proklamasi district to quell the violence and keep the two sides apart.
1997-05-22T00:00:00Z,"ARGENTINA; UNEMPLOYMENT AND JOB MARKET; LABOR; REFORM AND REORGANIZATION; PRICES (FARES, FEES AND RATES); DEMONSTRATIONS AND RIOTS; ECONOMIC CONDITIONS AND TRENDS; GOVERNMENT EMPLOYEES",Unrest Erupts In Argentina Over Austerity,The New York Times,article,http://www.nytimes.com/1997/05/22/world/unrest-erupts-in-argentina-over-austerity.html,Foreign Desk,World,"Driven by discontent over high unemployment and declining living standards, violent protests have erupted in major cities and towns throughout Argentina in recent days. Riot policemen have clashed with tens of thousands of people blocking roads,...","Driven by discontent over high unemployment and declining living standards, violent protests have erupted in major cities and towns throughout Argentina in recent days. Riot policemen have clashed with tens of thousands of people blocking roads, bridges and Government buildings. The target of the uprisings is the Government's economic reforms, which have brought stability and high growth rates to a country once plagued by hyperinflation, but which have also produced record unemployment as inefficient state industries were sold off and the number of state employees drastically reduced."
1997-05-24T00:00:00Z,SUHARTO; JAKARTA (INDONESIA); INDONESIA; LEGISLATURES AND PARLIAMENTS; UNEMPLOYMENT AND JOB MARKET; ELECTION ISSUES; ETHICS; ELECTIONS; DEMONSTRATIONS AND RIOTS; ECONOMIC CONDITIONS AND TRENDS; FREEDOM AND HUMAN RIGHTS,Police and Troops Break Up Election Rallies in Indonesia,The New York Times,article,http://www.nytimes.com/1997/05/24/world/police-and-troops-break-up-election-rallies-in-indonesia.html,Foreign Desk,World,"The Government displayed its power today, using tear gas, rubber bullets and an overwhelming armed presence on the streets of Jakarta, the capital, to quash attempts by its opponents to hold rallies on the last day of campaigning for next week's...","The Government displayed its power today, using tear gas, rubber bullets and an overwhelming armed presence on the streets of Jakarta, the capital, to quash attempts by its opponents to hold rallies on the last day of campaigning for next week's parliamentary election. As black-uniformed marines, riot policemen padded like hockey goalies and 20,000 soldiers in battle gear guarded key neighborhoods, hit-and-run convoys of young men on motorcycles buzzed through the city waving banners and gunning their engines."
1997-06-01T00:00:00Z,NAIROBI (KENYA); KENYA; POLITICS AND GOVERNMENT; DEMONSTRATIONS AND RIOTS; ELECTIONS,Kenyan Police Break Up March Backing Reform,Agence France-Presse,article,http://www.nytimes.com/1997/06/01/world/kenyan-police-break-up-march-backing-reform.html,Foreign Desk,World,"Hundreds of riot police officers charged more than 1,000 demonstrators in Nairobi today, beating them with clubs and firing rubber bullets and tear gas.     The demonstrators, led by opposition politicians, were demanding constitutional reforms...","Hundreds of riot police officers charged more than 1,000 demonstrators in Nairobi today, beating them with clubs and firing rubber bullets and tear gas. The demonstrators, led by opposition politicians, were demanding constitutional reforms before elections, which are to be held this year."
